date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-09 22 Maik Sep Sun 29 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 17 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 23 19937 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 7 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
2018-09-09 22 Maik Sep Sun 91 13642 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 71 13642 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 9 19937 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 2 0 0 3 0
2018-09-09 22 Andrew Sep Sun 109 19937 20 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 50 13642 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 80 19937 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 53 19937 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 150 19937 30 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 22 Maik Sep Sun 65 13642 12 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 22 Andrew Sep Sun 33 19937 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 11 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2018-09-09 22 Maik Sep Sun 62 13642 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 43 13642 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 36 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 31 19937 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 20 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 45 13642 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-09 22 Maik Sep Sun 14 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 5 19937 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 31 19937 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
