month word mean_pos_ratio mean_neg_ratio se.pos_ratio se.neg_ratio mean.sent_val se.sent_val sent_pol
Apr 4.69308700834327 0.00417163289630513 0.000595947556615018 0.00157390587741522 0.000595947556615018 0.00357568533969011 0.00168383434698691 positive
Aug 4.59510869565217 0.000452898550724638 0.000452898550724638 0.000452898550724638 0.000452898550724638 0 0.000640640361789104 negative
Dec 4.88719695451813 0.00120216389501102 0.000200360649168503 0.000490535410928569 0.000200360649168503 0.00100180324584252 0.000529967846878165 positive
Feb 5.14803049555273 0.000952986022871665 0 0.000550031873736814 0 0.000952986022871665 0.000550031873736814 positive
Jan 5.02963240810203 0.00112528132033008 0.000750187546886722 0.000649437644534802 0.000530363168268326 0.000375093773443361 0.000838861054867003 positive
Jul 4.62223421478683 0.00107933081489477 0.000539665407447383 0.000762996062440403 0.000539665407447383 0.000539665407447383 0.000934896127212638 positive
Jun 4.6045197740113 0.00205444273240883 0 0.00102642926633117 0 0.00205444273240883 0.00102642926633117 positive
Mar 5.16802906448683 0.00408719346049046 0.000454132606721163 0.00135991960470525 0.000454132606721163 0.0036330608537693 0.00143433063762516 positive
May 4.86382978723404 0.00106382978723404 0 0.000752041059304014 0 0.00106382978723404 0.000752041059304014 positive
Nov 5.29607550919026 0.0014903129657228 0.000248385494287134 0.000608039703874224 0.000248385494287134 0.00124192747143567 0.000656956293613334 positive
Oct 5.61635220125786 0.000943396226415094 0 0.00054449870454372 0 0.000943396226415094 0.00054449870454372 positive
Sep 6.4676724137931 0.000718390804597701 0.000359195402298851 0.000507887736629042 0.000359195402298851 0.000359195402298851 0.000622219199434568 positive
